invoice_id,vendor_gstin,invoice_number,invoice_date,filing_period,taxable_value,cgst,sgst,igst,total_tax,total_invoice_value
INV00032,27KDDIS6778DGZY,INV/082025/00032,2025-08-21,08-2025,240782.42,0.0,0.0,67419.08,67419.08,308201.5
INV00033,27KDDIS6778DGZY,INV/012026/00033,2026-01-10,01-2026,196630.18,0.0,0.0,9831.51,9831.51,206461.69
INV00034,27KDDIS6778DGZY,INV/052025/00034,2025-05-10,05-2025,103122.95,0.0,0.0,5156.15,5156.15,108279.1
INV00035,27KDDIS6778DGZY,INV/072025/00035,2025-07-17,07-2025,216291.46,0.0,0.0,60561.61,60561.61,276853.07
INV00036,27KDDIS6778DGZY,INV/042025/00036,2025-04-13,04-2025,167772.1,0.0,0.0,20132.65,20132.65,187904.75
INV00037,27KDDIS6778DGZY,INV/022026/00037,2026-02-04,02-2026,225366.78,0.0,0.0,40566.02,40566.02,265932.8
INV00038,27KDDIS6778DGZY,INV/052025/00038,2025-05-06,05-2025,93677.08,0.0,0.0,26229.58,26229.58,119906.66
INV00039,27KDDIS6778DGZY,INV/072025/00039,2025-07-12,07-2025,115571.42,0.0,0.0,13868.57,13868.57,129439.99
INV00040,27KDDIS6778DGZY,INV/022026/00040,2026-02-01,02-2026,115167.91,0.0,0.0,13820.15,13820.15,128988.06
INV00041,27KDDIS6778DGZY,INV/122025/00041,2025-12-09,12-2025,72164.73,0.0,0.0,3608.24,3608.24,75772.97
INV00042,27KDDIS6778DGZY,INV/012026/00042,2026-01-12,01-2026,6618.58,0.0,0.0,330.93,330.93,6949.51
INV00043,27KDDIS6778DGZY,INV/082025/00043,2025-08-11,08-2025,138943.9,0.0,0.0,6947.19,6947.19,145891.09
INV00044,27KDDIS6778DGZY,INV/032026/00044,2026-03-06,03-2026,67067.42,0.0,0.0,8048.09,8048.09,75115.51
INV00045,27KDDIS6778DGZY,INV/052025/00045,2025-05-25,05-2025,94902.37,0.0,0.0,17082.43,17082.43,111984.8
INV00046,27KDDIS6778DGZY,INV/072025/00046,2025-07-16,07-2025,76888.23,0.0,0.0,13839.88,13839.88,90728.11
INV00047,27KDDIS6778DGZY,INV/032026/00047,2026-03-28,03-2026,185942.57,0.0,0.0,52063.92,52063.92,238006.49
INV00048,27KDDIS6778DGZY,INV/112025/00048,2025-11-29,11-2025,66026.81,0.0,0.0,11884.83,11884.83,77911.64
INV00049,27KDDIS6778DGZY,INV/062025/00049,2025-06-07,06-2025,179548.17,0.0,0.0,32318.67,32318.67,211866.84
INV00050,27KDDIS6778DGZY,INV/042025/00050,2025-04-11,04-2025,177835.35,0.0,0.0,32010.36,32010.36,209845.71
INV00051,27KDDIS6778DGZY,INV/122025/00051,2025-12-07,12-2025,47299.04,0.0,0.0,13243.73,13243.73,60542.77
INV00052,27KDDIS6778DGZY,INV/032026/00052,2026-03-27,03-2026,16337.93,0.0,0.0,1960.55,1960.55,18298.48
INV00053,27GUPXB2182PFZV,INV/112025/00001,2025-11-04,11-2025,77915.73,0.0,0.0,3895.79,3895.79,81811.52
INV00054,27GUPXB2182PFZV,INV/102025/00002,2025-10-30,10-2025,160428.84,0.0,0.0,44920.08,44920.08,205348.92
INV00055,27GUPXB2182PFZV,INV/112025/00003,2025-11-01,11-2025,142374.53,0.0,0.0,39864.87,39864.87,182239.4
INV00056,27GUPXB2182PFZV,INV/122025/00004,2025-12-22,12-2025,189412.25,0.0,0.0,9470.61,9470.61,198882.86
INV00057,27GUPXB2182PFZV,INV/102025/00005,2025-10-01,10-2025,116570.59,0.0,0.0,32639.77,32639.77,149210.36
INV00058,27GUPXB2182PFZV,INV/032026/00006,2026-03-09,03-2026,100291.86,0.0,0.0,12035.02,12035.02,112326.88
INV00059,27GUPXB2182PFZV,INV/022026/00007,2026-02-24,02-2026,56968.71,0.0,0.0,15951.24,15951.24,72919.95
INV00060,27GUPXB2182PFZV,INV/032026/00008,2026-03-16,03-2026,72748.75,0.0,0.0,20369.65,20369.65,93118.4
INV00061,27GUPXB2182PFZV,INV/092025/00009,2025-09-24,09-2025,12068.41,0.0,0.0,2172.31,2172.31,14240.72
INV00062,27GUPXB2182PFZV,INV/032026/00010,2026-03-18,03-2026,118973.03,0.0,0.0,14276.76,14276.76,133249.79
INV00063,27GUPXB2182PFZV,INV/092025/00011,2025-09-03,09-2025,128212.29,0.0,0.0,6410.61,6410.61,134622.9
INV00064,27GUPXB2182PFZV,INV/042025/00012,2025-04-15,04-2025,244633.84,0.0,0.0,12231.69,12231.69,256865.53
INV00065,27GUPXB2182PFZV,INV/052025/00013,2025-05-11,05-2025,19328.43,0.0,0.0,2319.41,2319.41,21647.84
INV00066,27GUPXB2182PFZV,INV/012026/00014,2026-01-08,01-2026,112917.19,0.0,0.0,13550.06,13550.06,126467.25
INV00067,27GUPXB2182PFZV,INV/092025/00015,2025-09-30,09-2025,7068.7,0.0,0.0,353.44,353.44,7422.14
INV00068,27GUPXB2182PFZV,INV/112025/00016,2025-11-03,11-2025,153267.78,0.0,0.0,18392.13,18392.13,171659.91
INV00069,27GUPXB2182PFZV,INV/052025/00017,2025-05-01,05-2025,132665.51,0.0,0.0,37146.34,37146.34,169811.85
INV00070,27GUPXB2182PFZV,INV/082025/00018,2025-08-23,08-2025,186201.26,0.0,0.0,22344.15,22344.15,208545.41
INV00071,27GUPXB2182PFZV,INV/112025/00019,2025-11-14,11-2025,65747.35,0.0,0.0,18409.26,18409.26,84156.61
INV00072,27GUPXB2182PFZV,INV/042025/00020,2025-04-18,04-2025,183132.3,0.0,0.0,32963.81,32963.81,216096.11
INV00073,27GUPXB2182PFZV,INV/082025/00021,2025-08-30,08-2025,118203.2,0.0,0.0,14184.38,14184.38,132387.58
INV00074,27GUPXB2182PFZV,INV/012026/00022,2026-01-07,01-2026,95829.09,0.0,0.0,4791.45,4791.45,100620.54
INV00075,27GUPXB2182PFZV,INV/042025/00023,2025-04-21,04-2025,104103.25,0.0,0.0,12492.39,12492.39,116595.64
INV00076,27GUPXB2182PFZV,INV/122025/00024,2025-12-09,12-2025,92217.94,0.0,0.0,25821.02,25821.02,118038.96
INV00077,27GUPXB2182PFZV,INV/072025/00025,2025-07-21,07-2025,139408.93,0.0,0.0,16729.07,16729.07,156138.0
INV00078,27GUPXB2182PFZV,INV/022026/00026,2026-02-05,02-2026,112399.48,0.0,0.0,31471.85,31471.85,143871.33
INV00079,27GUPXB2182PFZV,INV/062025/00027,2025-06-14,06-2025,59906.87,0.0,0.0,7188.82,7188.82,67095.69
INV00080,27GUPXB2182PFZV,INV/072025/00028,2025-07-03,07-2025,4397.87,0.0,0.0,219.89,219.89,4617.76
INV00081,27GUPXB2182PFZV,INV/042025/00029,2025-04-29,04-2025,78342.53,0.0,0.0,9401.1,9401.1,87743.63
INV00082,27GUPXB2182PFZV,INV/122025/00030,2025-12-12,12-2025,51820.6,0.0,0.0,9327.71,9327.71,61148.31
INV00083,27GUPXB2182PFZV,INV/112025/00031,2025-11-23,11-2025,85570.0,0.0,0.0,23959.6,23959.6,109529.6
INV00084,27GUPXB2182PFZV,INV/072025/00032,2025-07-30,07-2025,101966.3,0.0,0.0,18353.93,18353.93,120320.23
INV00085,27GUPXB2182PFZV,INV/112025/00033,2025-11-16,11-2025,219685.5,0.0,0.0,10984.28,10984.28,230669.78
INV00086,27GUPXB2182PFZV,INV/022026/00034,2026-02-24,02-2026,110731.43,0.0,0.0,13287.77,13287.77,124019.2
INV00087,27GUPXB2182PFZV,INV/082025/00035,2025-08-21,08-2025,205702.54,0.0,0.0,10285.13,10285.13,215987.67
INV00088,27GUPXB2182PFZV,INV/112025/00036,2025-11-02,11-2025,33244.09,0.0,0.0,9308.35,9308.35,42552.44
INV00089,27GUPXB2182PFZV,INV/122025/00037,2025-12-14,12-2025,23422.1,0.0,0.0,6558.19,6558.19,29980.29
INV00090,27GUPXB2182PFZV,INV/092025/00038,2025-09-29,09-2025,238612.62,0.0,0.0,28633.51,28633.51,267246.13
INV00091,27GUPXB2182PFZV,INV/082025/00039,2025-08-15,08-2025,208485.49,0.0,0.0,58375.94,58375.94,266861.43
INV00092,27GUPXB2182PFZV,INV/042025/00040,2025-04-06,04-2025,45813.87,0.0,0.0,5497.66,5497.66,51311.53
INV00093,27GUPXB2182PFZV,INV/112025/00041,2025-11-14,11-2025,207506.55,0.0,0.0,10375.33,10375.33,217881.88
INV00094,27GUPXB2182PFZV,INV/032026/00042,2026-03-03,03-2026,209581.08,0.0,0.0,25149.73,25149.73,234730.81
INV00095,27GUPXB2182PFZV,INV/072025/00043,2025-07-26,07-2025,124400.44,0.0,0.0,14928.05,14928.05,139328.49
INV00096,27GUPXB2182PFZV,INV/092025/00044,2025-09-12,09-2025,113004.53,0.0,0.0,20340.82,20340.82,133345.35
INV00097,27GUPXB2182PFZV,INV/122025/00045,2025-12-15,12-2025,99938.8,0.0,0.0,4996.94,4996.94,104935.74
INV00098,27GUPXB2182PFZV,INV/062025/00046,2025-06-20,06-2025,78165.08,0.0,0.0,3908.25,3908.25,82073.33
INV00099,27GUPXB2182PFZV,INV/112025/00047,2025-11-07,11-2025,131323.41,0.0,0.0,6566.17,6566.17,137889.58
INV00100,27GUPXB2182PFZV,INV/032026/00048,2026-03-28,03-2026,164891.89,0.0,0.0,29680.54,29680.54,194572.43
INV00101,27GUPXB2182PFZV,INV/122025/00049,2025-12-23,12-2025,48678.66,0.0,0.0,2433.93,2433.93,51112.59
INV00102,27GUPXB2182PFZV,INV/072025/00050,2025-07-18,07-2025,183714.2,0.0,0.0,51439.98,51439.98,235154.18
INV00103,27GUPXB2182PFZV,INV/092025/00051,2025-09-08,09-2025,190461.91,0.0,0.0,9523.1,9523.1,199985.01
INV00104,09ACDKQ9146PMZR,INV/052025/00001,2025-05-13,05-2025,115644.4,0.0,0.0,20815.99,20815.99,136460.39
INV00105,09ACDKQ9146PMZR,INV/062025/00002,2025-06-23,06-2025,176596.62,0.0,0.0,21191.59,21191.59,197788.21
INV00106,09ACDKQ9146PMZR,INV/082025/00003,2025-08-21,08-2025,189842.77,0.0,0.0,34171.7,34171.7,224014.47
INV00107,09ACDKQ9146PMZR,INV/022026/00004,2026-02-04,02-2026,148958.33,0.0,0.0,17875.0,17875.0,166833.33
INV00108,09ACDKQ9146PMZR,INV/102025/00005,2025-10-02,10-2025,113185.67,0.0,0.0,5659.28,5659.28,118844.95
INV00109,09ACDKQ9146PMZR,INV/042025/00006,2025-04-06,04-2025,174520.52,0.0,0.0,31413.69,31413.69,205934.21
INV00110,09ACDKQ9146PMZR,INV/022026/00007,2026-02-20,02-2026,154343.57,0.0,0.0,27781.84,27781.84,182125.41
INV00111,09ACDKQ9146PMZR,INV/082025/00008,2025-08-30,08-2025,185493.63,0.0,0.0,33388.85,33388.85,218882.48
INV00112,09ACDKQ9146PMZR,INV/082025/00009,2025-08-03,08-2025,169085.91,0.0,0.0,30435.46,30435.46,199521.37
INV00113,09ACDKQ9146PMZR,INV/102025/00010,2025-10-25,10-2025,152432.82,0.0,0.0,27437.91,27437.91,179870.73
INV00114,09ACDKQ9146PMZR,INV/102025/00011,2025-10-26,10-2025,202482.46,0.0,0.0,36446.84,36446.84,238929.3
INV00115,09ACDKQ9146PMZR,INV/052025/00012,2025-05-12,05-2025,130383.22,0.0,0.0,15645.99,15645.99,146029.21
INV00116,09ACDKQ9146PMZR,INV/012026/00013,2026-01-14,01-2026,110588.2,0.0,0.0,19905.88,19905.88,130494.08
INV00117,09ACDKQ9146PMZR,INV/092025/00014,2025-09-27,09-2025,13847.78,0.0,0.0,3877.38,3877.38,17725.16
INV00118,09ACDKQ9146PMZR,INV/012026/00015,2026-01-31,01-2026,95190.01,0.0,0.0,17134.2,17134.2,112324.21
INV00119,09ACDKQ9146PMZR,INV/062025/00016,2025-06-28,06-2025,135511.35,0.0,0.0,16261.36,16261.36,151772.71
INV00120,09ACDKQ9146PMZR,INV/052025/00017,2025-05-24,05-2025,138163.18,0.0,0.0,24869.37,24869.37,163032.55
INV00121,09ACDKQ9146PMZR,INV/052025/00018,2025-05-23,05-2025,190826.15,0.0,0.0,9541.31,9541.31,200367.46
INV00122,09ACDKQ9146PMZR,INV/122025/00019,2025-12-26,12-2025,242354.28,0.0,0.0,12117.71,12117.71,254471.99
INV00123,09ACDKQ9146PMZR,INV/102025/00020,2025-10-05,10-2025,95107.88,0.0,0.0,26630.21,26630.21,121738.09
INV00124,09ACDKQ9146PMZR,INV/022026/00021,2026-02-18,02-2026,244472.67,0.0,0.0,68452.35,68452.35,312925.02
INV00125,09ACDKQ9146PMZR,INV/032026/00022,2026-03-21,03-2026,234842.63,0.0,0.0,42271.67,42271.67,277114.3
INV00126,09ACDKQ9146PMZR,INV/032026/00023,2026-03-02,03-2026,247095.33,0.0,0.0,12354.77,12354.77,259450.1
INV00127,09ACDKQ9146PMZR,INV/092025/00024,2025-09-09,09-2025,181257.13,0.0,0.0,50752.0,50752.0,232009.13
INV00128,09ACDKQ9146PMZR,INV/112025/00025,2025-11-14,11-2025,162350.65,0.0,0.0,8117.53,8117.53,170468.18
INV00129,09ACDKQ9146PMZR,INV/012026/00026,2026-01-21,01-2026,165081.21,0.0,0.0,19809.75,19809.75,184890.96
INV00130,09ACDKQ9146PMZR,INV/052025/00027,2025-05-23,05-2025,110978.67,0.0,0.0,5548.93,5548.93,116527.6
INV00131,09ACDKQ9146PMZR,INV/052025/00028,2025-05-02,05-2025,4635.49,0.0,0.0,556.26,556.26,5191.75
INV00132,09ACDKQ9146PMZR,INV/082025/00029,2025-08-14,08-2025,56677.92,0.0,0.0,10202.03,10202.03,66879.95
INV00133,09ACDKQ9146PMZR,INV/102025/00030,2025-10-18,10-2025,124433.42,0.0,0.0,34841.36,34841.36,159274.78
INV00134,09ACDKQ9146PMZR,INV/032026/00031,2026-03-14,03-2026,71503.55,0.0,0.0,12870.64,12870.64,84374.19
INV00135,09ACDKQ9146PMZR,INV/072025/00032,2025-07-24,07-2025,63675.9,0.0,0.0,3183.8,3183.8,66859.7
INV00136,09ACDKQ9146PMZR,INV/052025/00033,2025-05-26,05-2025,78523.47,0.0,0.0,21986.57,21986.57,100510.04
INV00137,09ACDKQ9146PMZR,INV/092025/00034,2025-09-03,09-2025,83331.65,0.0,0.0,4166.58,4166.58,87498.23
INV00138,09ACDKQ9146PMZR,INV/022026/00035,2026-02-21,02-2026,219016.51,0.0,0.0,26281.98,26281.98,245298.49
INV00139,09ACDKQ9146PMZR,INV/072025/00036,2025-07-19,07-2025,186019.13,0.0,0.0,33483.44,33483.44,219502.57
INV00140,09ACDKQ9146PMZR,INV/072025/00037,2025-07-07,07-2025,73403.05,0.0,0.0,8808.37,8808.37,82211.42
INV00141,09ACDKQ9146PMZR,INV/042025/00038,2025-04-12,04-2025,112400.66,0.0,0.0,31472.18,31472.18,143872.84
INV00142,09ACDKQ9146PMZR,INV/122025/00039,2025-12-19,12-2025,206477.35,0.0,0.0,10323.87,10323.87,216801.22
INV00143,09ACDKQ9146PMZR,INV/072025/00040,2025-07-20,07-2025,74474.54,0.0,0.0,8936.94,8936.94,83411.48
INV00144,09ACDKQ9146PMZR,INV/012026/00041,2026-01-06,01-2026,211136.92,0.0,0.0,10556.85,10556.85,221693.77
INV00145,09ACDKQ9146PMZR,INV/092025/00042,2025-09-05,09-2025,3576.98,0.0,0.0,643.86,643.86,4220.84
INV00146,09ACDKQ9146PMZR,INV/052025/00043,2025-05-12,05-2025,160883.84,0.0,0.0,19306.06,19306.06,180189.9
INV00147,09ACDKQ9146PMZR,INV/042025/00044,2025-04-20,04-2025,187498.88,0.0,0.0,9374.94,9374.94,196873.82
INV00148,09ACDKQ9146PMZR,INV/082025/00045,2025-08-12,08-2025,44274.4,0.0,0.0,2213.72,2213.72,46488.12
INV00149,09ACDKQ9146PMZR,INV/102025/00046,2025-10-19,10-2025,161332.52,0.0,0.0,29039.85,29039.85,190372.37
INV00150,09ACDKQ9146PMZR,INV/052025/00047,2025-05-20,05-2025,14049.54,0.0,0.0,1685.94,1685.94,15735.48
INV00151,09ACDKQ9146PMZR,INV/112025/00048,2025-11-10,11-2025,211275.55,0.0,0.0,38029.6,38029.6,249305.15
INV00152,09ACDKQ9146PMZR,INV/052025/00049,2025-05-04,05-2025,209644.44,0.0,0.0,37736.0,37736.0,247380.44
INV00153,29YQKRK7255V6ZY,INV/022026/00001,2026-02-26,02-2026,220340.31,0.0,0.0,61695.29,61695.29,282035.6
INV00154,29YQKRK7255V6ZY,INV/042025/00002,2025-04-02,04-2025,94393.08,0.0,0.0,11327.17,11327.17,105720.25
INV00155,29YQKRK7255V6ZY,INV/042025/00003,2025-04-14,04-2025,147666.76,0.0,0.0,26580.02,26580.02,174246.78
INV00156,29YQKRK7255V6ZY,INV/042025/00004,2025-04-23,04-2025,177117.68,0.0,0.0,49592.95,49592.95,226710.63
INV00157,29YQKRK7255V6ZY,INV/112025/00005,2025-11-01,11-2025,76763.25,0.0,0.0,13817.39,13817.39,90580.64
INV00158,29YQKRK7255V6ZY,INV/122025/00006,2025-12-17,12-2025,235241.24,0.0,0.0,65867.55,65867.55,301108.79
INV00159,29YQKRK7255V6ZY,INV/052025/00007,2025-05-24,05-2025,65961.83,0.0,0.0,3298.09,3298.09,69259.92
INV00160,29YQKRK7255V6ZY,INV/082025/00008,2025-08-21,08-2025,221866.23,0.0,0.0,62122.54,62122.54,283988.77
INV00161,29YQKRK7255V6ZY,INV/122025/00009,2025-12-02,12-2025,11716.34,0.0,0.0,585.82,585.82,12302.16
INV00162,29YQKRK7255V6ZY,INV/062025/00010,2025-06-27,06-2025,96012.35,0.0,0.0,26883.46,26883.46,122895.81
INV00163,29YQKRK7255V6ZY,INV/022026/00011,2026-02-28,02-2026,110296.25,0.0,0.0,30882.95,30882.95,141179.2
INV00164,29YQKRK7255V6ZY,INV/122025/00012,2025-12-24,12-2025,134139.77,0.0,0.0,16096.77,16096.77,150236.54
INV00165,29YQKRK7255V6ZY,INV/062025/00013,2025-06-22,06-2025,94942.07,0.0,0.0,17089.57,17089.57,112031.64
INV00166,29YQKRK7255V6ZY,INV/022026/00014,2026-02-06,02-2026,235174.28,0.0,0.0,42331.37,42331.37,277505.65
INV00167,29YQKRK7255V6ZY,INV/082025/00015,2025-08-02,08-2025,25167.69,0.0,0.0,1258.38,1258.38,26426.07
INV00168,29YQKRK7255V6ZY,INV/102025/00016,2025-10-18,10-2025,18111.07,0.0,0.0,5071.1,5071.1,23182.17
INV00169,29YQKRK7255V6ZY,INV/112025/00017,2025-11-19,11-2025,162976.1,0.0,0.0,45633.31,45633.31,208609.41
INV00170,29YQKRK7255V6ZY,INV/012026/00018,2026-01-26,01-2026,108260.68,0.0,0.0,12991.28,12991.28,121251.96
INV00171,29YQKRK7255V6ZY,INV/102025/00019,2025-10-28,10-2025,220490.23,0.0,0.0,61737.26,61737.26,282227.49
INV00172,29YQKRK7255V6ZY,INV/102025/00020,2025-10-27,10-2025,42707.72,0.0,0.0,5124.93,5124.93,47832.65
INV00173,29YQKRK7255V6ZY,INV/042025/00021,2025-04-13,04-2025,24710.9,0.0,0.0,2965.31,2965.31,27676.21
INV00174,29YQKRK7255V6ZY,INV/072025/00022,2025-07-12,07-2025,24439.81,0.0,0.0,2932.78,2932.78,27372.59
INV00175,29YQKRK7255V6ZY,INV/052025/00023,2025-05-28,05-2025,8324.31,0.0,0.0,998.92,998.92,9323.23
INV00176,29YQKRK7255V6ZY,INV/012026/00024,2026-01-29,01-2026,25632.38,0.0,0.0,7177.07,7177.07,32809.45
INV00177,29YQKRK7255V6ZY,INV/072025/00025,2025-07-30,07-2025,194880.77,0.0,0.0,23385.69,23385.69,218266.46
INV00178,29YQKRK7255V6ZY,INV/122025/00026,2025-12-14,12-2025,125574.81,0.0,0.0,6278.74,6278.74,131853.55
INV00179,29YQKRK7255V6ZY,INV/062025/00027,2025-06-18,06-2025,178615.2,0.0,0.0,32150.74,32150.74,210765.94
INV00180,29YQKRK7255V6ZY,INV/012026/00028,2026-01-30,01-2026,142148.29,0.0,0.0,25586.69,25586.69,167734.98
INV00181,29YQKRK7255V6ZY,INV/122025/00029,2025-12-06,12-2025,76166.15,0.0,0.0,3808.31,3808.31,79974.46
INV00182,29YQKRK7255V6ZY,INV/032026/00030,2026-03-19,03-2026,102837.11,0.0,0.0,28794.39,28794.39,131631.5
INV00183,29YQKRK7255V6ZY,INV/022026/00031,2026-02-24,02-2026,111683.67,0.0,0.0,20103.06,20103.06,131786.73
INV00184,29YQKRK7255V6ZY,INV/102025/00032,2025-10-27,10-2025,221672.46,0.0,0.0,39901.04,39901.04,261573.5
INV00185,29YQKRK7255V6ZY,INV/012026/00033,2026-01-31,01-2026,199146.52,0.0,0.0,35846.37,35846.37,234992.89
INV00186,29YQKRK7255V6ZY,INV/032026/00034,2026-03-25,03-2026,170483.93,0.0,0.0,8524.2,8524.2,179008.13
INV00187,29YQKRK7255V6ZY,INV/102025/00035,2025-10-28,10-2025,162024.71,0.0,0.0,45366.92,45366.92,207391.63
INV00188,29YQKRK7255V6ZY,INV/042025/00036,2025-04-19,04-2025,20632.79,0.0,0.0,3713.9,3713.9,24346.69
INV00189,29YQKRK7255V6ZY,INV/032026/00037,2026-03-25,03-2026,125199.24,0.0,0.0,15023.91,15023.91,140223.15
INV00190,29YQKRK7255V6ZY,INV/012026/00038,2026-01-25,01-2026,178425.15,0.0,0.0,49959.04,49959.04,228384.19
INV00191,29YQKRK7255V6ZY,INV/052025/00039,2025-05-26,05-2025,120467.16,0.0,0.0,21684.09,21684.09,142151.25
INV00192,29YQKRK7255V6ZY,INV/122025/00040,2025-12-31,12-2025,107814.62,0.0,0.0,19406.63,19406.63,127221.25
INV00193,29YQKRK7255V6ZY,INV/052025/00041,2025-05-27,05-2025,186177.76,0.0,0.0,33512.0,33512.0,219689.76
INV00194,29YQKRK7255V6ZY,INV/092025/00042,2025-09-06,09-2025,71919.55,0.0,0.0,8630.35,8630.35,80549.9
INV00195,29YQKRK7255V6ZY,INV/072025/00043,2025-07-15,07-2025,229719.1,0.0,0.0,64321.35,64321.35,294040.45
INV00196,29YQKRK7255V6ZY,INV/122025/00044,2025-12-05,12-2025,52073.12,0.0,0.0,6248.77,6248.77,58321.89
INV00197,29YQKRK7255V6ZY,INV/112025/00045,2025-11-13,11-2025,68506.01,0.0,0.0,8220.72,8220.72,76726.73
INV00198,29YQKRK7255V6ZY,INV/072025/00046,2025-07-13,07-2025,174529.55,0.0,0.0,48868.27,48868.27,223397.82
INV00199,29YQKRK7255V6ZY,INV/082025/00047,2025-08-10,08-2025,206404.18,0.0,0.0,10320.21,10320.21,216724.39
INV00200,29YQKRK7255V6ZY,INV/042025/00048,2025-04-05,04-2025,174885.04,0.0,0.0,31479.31,31479.31,206364.35
INV00201,29YQKRK7255V6ZY,INV/042025/00049,2025-04-02,04-2025,151653.9,0.0,0.0,42463.09,42463.09,194116.99
INV00202,29YQKRK7255V6ZY,INV/012026/00050,2026-01-03,01-2026,244592.26,0.0,0.0,12229.61,12229.61,256821.87
INV00203,29YQKRK7255V6ZY,INV/022026/00051,2026-02-22,02-2026,107429.08,0.0,0.0,30080.14,30080.14,137509.22
INV00204,29YQKRK7255V6ZY,INV/122025/00052,2025-12-11,12-2025,41157.42,0.0,0.0,7408.34,7408.34,48565.76
INV00205,27USDRM2889MPZQ,INV/072025/00001,2025-07-12,07-2025,135029.25,0.0,0.0,6751.46,6751.46,141780.71
